-62	-53	-55	-60	-68	-76	-79	1
-62	-51	-54	-60	-74	-74	-82	1
-61	-57	-58	-62	-67	-78	-76	1
-59	-50	-56	-59	-62	-78	-79	1
-59	-49	-57	-58	-65	-76	-79	1
-42	-53	-62	-38	-66	-65	-69	2
-44	-55	-61	-41	-66	-72	-68	2
-41	-58	-56	-40	-73	-69	-73	2
-40	-55	-56	-41	-70	-74	-73	2
-38	-55	-53	-37	-72	-71	-73	2
-38	-54	-56	-45	-56	-72	-68	2
-38	-52	-54	-38	-64	-73	-77	2
-52	-57	-61	-59	-59	-85	-85	3
-52	-48	-56	-53	-62	-78	-81	3
-49	-55	-51	-49	-63	-81	-73	3
-46	-48	-52	-52	-62	-77	-80	3
-45	-56	-57	-47	-61	-76	-78	3
-48	-55	-58	-52	-64	-92	-79	3
-49	-52	-48	-52	-62	-78	-75	3
-49	-50	-51	-50	-62	-75	-75	3
-49	-55	-48	-49	-62	-79	-84	3
-50	-56	-48	-48	-63	-80	-91	3
-50	-58	-51	-52	-60	-81	-79	3
-49	-52	-46	-48	-60	-79	-80	3
-52	-52	-49	-49	-58	-77	-84	3
-45	-50	-52	-53	-61	-75	-79	3
-49	-52	-48	-44	-59	-80	-78	3
-47	-58	-49	-45	-66	-85	-79	3
-51	-52	-49	-50	-63	-79	-79	3
-49	-51	-53	-41	-64	-77	-79	3
-49	-52	-54	-52	-60	-83	-79	3
-50	-56	-53	-40	-65	-86	-80	3
-47	-58	-56	-44	-64	-80	-85	3
-47	-53	-54	-49	-63	-88	-85	3
-50	-57	-54	-44	-67	-85	-85	3
-67	-53	-46	-64	-48	-88	-87	4
-66	-52	-48	-71	-55	-88	-87	4
-65	-52	-46	-65	-49	-88	-87	4
-65	-52	-46	-64	-49	-88	-87	4
-65	-54	-46	-65	-51	-91	-89	4
-65	-51	-49	-63	-49	-92	-91	4
-64	-48	-54	-58	-52	-80	-88	4
-60	-52	-45	-58	-51	-87	-80	4
-57	-54	-46	-53	-44	-85	-84	4
-58	-54	-44	-59	-47	-83	-86	4
-55	-57	-49	-52	-53	-82	-86	4
-59	-53	-49	-56	-49	-83	-88	4
-60	-57	-58	-58	-50	-83	-88	4
-64	-55	-55	-58	-51	-89	-88	4
-64	-54	-52	-58	-52	-89	-88	4
-59	-53	-49	-59	-45	-89	-88	4
-60	-52	-49	-61	-51	-85	-81	4
-61	-58	-52	-61	-45	-92	-81	4
-60	-56	-43	-61	-50	-89	-87	4
-62	-57	-44	-61	-44	-89	-87	4
-62	-58	-49	-64	-42	-86	-89	4
-61	-54	-45	-66	-45	-88	-87	4
-60	-55	-47	-59	-54	-91	-80	4
-57	-59	-44	-60	-56	-87	-85	4
-56	-54	-48	-57	-51	-84	-89	4
-58	-54	-46	-55	-50	-87	-91	4
-58	-51	-46	-58	-50	-79	-87	4
-59	-55	-48	-59	-52	-86	-85	4
-57	-61	-54	-64	-48	-87	-91	4
-64	-55	-52	-61	-50	-92	-94	4
-62	-57	-50	-62	-49	-93	-86	4
-65	-58	-56	-61	-49	-89	-88	4
-62	-58	-50	-58	-47	-95	-87	4
-57	-52	-44	-59	-51	-88	-85	4
-55	-53	-47	-57	-50	-85	-85	4
-57	-52	-46	-60	-43	-88	-85	4
-64	-57	-48	-60	-39	-88	-85	4
-60	-51	-53	-63	-42	-87	-82	4
-63	-62	-49	-63	-45	-92	-86	4
-59	-52	-44	-57	-49	-85	-87	4
-58	-56	-52	-54	-52	-87	-84	4
-61	-57	-51	-56	-49	-88	-85	4
-59	-57	-56	-65	-49	-92	-91	4
-59	-57	-52	-71	-49	-92	-88	4
-59	-56	-56	-65	-49	-92	-88	4
-59	-56	-58	-66	-51	-92	-88	4
-60	-58	-55	-65	-50	-91	-86	4
-60	-58	-57	-68	-50	-96	-87	4
-61	-58	-58	-67	-50	-96	-85	4
-59	-57	-56	-65	-49	-91	-86	4
-61	-58	-57	-66	-49	-93	-86	4
-60	-57	-56	-65	-50	-96	-87	4
-61	-58	-56	-67	-50	-95	-88	4
-61	-57	-54	-67	-52	-89	-86	4
-58	-57	-55	-66	-51	-88	-87	4
